ID,calorie,water,carbohydrate,fiber,sugar,protein,fat,sfat,cholesterol,sodium,potassium,calcium,vit_A,vit_C,vit_D,vit_E,vit_K,vit_B6,vit_B12,thiamin,riboflavin,niacin,iron,folat,pantotenik,fosfor,magnesium,cinko,copper,selenium,manganese,Class
0,717,17.94,0.06,0,0.06,0.85,81.11,51.368,215,11.0,24.0,24.0,2499.0,0,60.0,2.32,7,3,0.17,5,34,42,0.02,3,0.11,24,2,0.09,16,1,4,Hayvansal
1,116,76.78,0,0,0,19.41,3.71,94.900.000,89,114.0,225.0,9.0,22.0,0,1.0,0.18,2.9,381,0.51,0.09,0.22,5.198,0.76,4,1.1,174,20,02.05,66,21.8,14,Hayvansal
2,75,79.53,17.99,4.9,4.8,1.2,0.3,0.05,0,10.0,375.0,36.0,0.0,17,0.0,1.49,22.5,0.09,0,0.09,0.05,0.7,0.59,67,60.000.000,71,29,0.59,0.12,1.8,56.000.000,Bitkisel
3,132.46,73.13,12.46,1.59,1.59,6.37,6.57,2.23,22.57,320.48,256.79,28.27,511.68,5.2,5.71,0.34,2.23,0.21,0.44,0.1,0.09,1.71,0.98,15.53,0.39,79.5,21.38,1.36,0.15,5.2,0.24,Mix
4,103.29,79.04,04.01,01.07,2.38,11.47,4.53,0.77,28.62,316.43,189.8,15.58,7050.79,32.59,1.86,1.88,4.11,0.23,0.09,0.05,0.07,0,0.71,15.6,0.4,78.47,16.49,0.46,0.05,8.5,0.1,Hayvansal
5,185,66.44,0,0,0,26.26,08.06,2.2,89,78.0,190.0,11.0,60.0,0,5.0,0.27,3.6,0.21,0.23,59,216,4.798,1.4,8,913,149,21,2.78,77,26.5,19,Hayvansal
6,18,94.78,0.04,0,0.04,0,0,0,0,2.0,2.0,6.0,0.0,0,0.0,0,0,0,0,0,0,0,0.03,0,0,4,1,0.01,6,0.5,55,Bitkisel
7,63,82.3,15.5,4.5,0,1.3,0.3,35,0,2.0,196.0,70.0,250.0,71,0.0,0,0,93,0,0.1,0.05,0.5,0.8,30,0.33,22,14,0.11,57,0.7,0,Bitkisel
8,565,3.3,25.74,14,0,16.96,48,6.722,0,11.0,475.0,989.0,9.0,0,0.0,0,0,802,0,803,251,4.581,14.76,98,51,638,356,7.16,2.47,34.4,2.496,Bitkisel
9,65.13,87.35,4.31,0.73,0.64,4.27,3.49,1.18,12.17,68.77,87.88,29.59,657.1,01.03,7.36,0.14,0.54,0.06,0.34,0.05,0.05,0,0.56,19.01,0.14,57.91,8.85,0.69,0.04,3.26,0.11,Bitkisel
10,246,33.2,66.3,0.7,60,0.3,0,0,0,56.0,37.0,38.0,62.0,4.8,0.0,0.06,0,19,0,5,25,52,0.15,9,15,4,2,0.04,0.09,60.000.000,0.02,Bitkisel
11,350,13.21,85.09,1.51,0.1,0.72,0.75,0.1,0,48.0,19.0,30.0,0.0,0,0.0,0,0,0,0,0.02,0,0,2.52,40,0,36,7,4.16,553,0,3.012,Mix
12,29,90.84,6.94,2.6,3.32,1.51,0.09,11,0,28.0,262.0,42.0,33.0,34.4,0.0,0.12,47.6,225,0,7.100.000,0.06,382,0.66,24,154,33,17,0.25,54,2.3,223,Bitkisel
13,320,42.86,31,0.8,29,6.3,19,8.5,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
14,208.95,62.35,08.06,3.27,2.26,12.46,15.13,6.65,53.67,263.51,392.86,33.69,4880.79,22.42,2.49,3.3,10.47,0.35,1.31,0.09,0.21,3.93,1.84,29.04,0.39,129.26,29.94,03.03,0.1,13.35,0.25,Hayvansal
15,225.67,51.87,25.64,2.32,3.43,11.42,8.66,0.4,17.95,527.28,216.75,73.85,2224.62,1.78,0.0,0.18,13.04,0.15,0.66,0.24,0.2,0,2.54,49.98,0.1,119.85,31.09,1.68,0.13,16.65,0.62,Mix
16,395,3.86,764.000.000,4.8,5.6,12,6.4,3.2,0,0.0,0.0,330.0,1326.0,17.8,0.0,1.7,0,0.53,0.42,68.999.999,0.44,16.9,11.9,Mikrogram,4.3,0,0,0,0,0,0,Mix
17,153,705.400.000,16.48,0.9,0.73,4.3,7.71,4.696,22,260.0,39.0,43.0,75.0,0.1,8.0,0.21,0.6,33,0.06,146,106,892,0.7,39,0,56,12,0.37,57,14.7,0,Hayvansal
18,376,39.28,03.06,0,0,25.18,29.2,18.584,93,690.0,93.0,673.0,1054.0,0,0.0,0,0,74,0.27,31,0.45,0.18,0.64,18,0.19,490,22,2.94,24,14.5,21,Hayvansal
19,263,45,27.81,1.1,6.22,12.97,11.79,4.435,35,626.0,200.0,167.0,243.0,60.000.000,0.0,0,0,0,0.86,223,0.26,4.026,2.35,59,0,140,20,1.91,97,0,0.23,Mix
20,61,88.86,4.97,0,05.05,3.15,3.25,1.195,8,52.0,162.0,128.0,204.0,1,52.0,0,0,45,0.38,0.04,173,0.09,0.05,5,336,100,14,0.4,8,2.3,2,Hayvansal
21,420.74,17.01,53.8,3.69,37.39,5.73,21.51,12.54,89.04,256.01,233.18,67.78,443.82,0,20.96,0.62,2.76,0.05,0.2,0.13,0.17,1.1,2.99,33.96,0.4,151.48,65.94,1.19,0.47,12.33,0.54,Mix
22,48.44,90.75,3.45,0.19,1.18,1.48,3.29,0.76,4.92,265.81,62.54,46.22,2870.1,0.73,12.17,0.29,01.07,0.03,0.2,0.02,0.07,0,0.24,6.33,0.11,34.85,6.24,0.15,0,1.36,0.06,Mix
23,122.53,78.73,3.37,1.72,1.97,8.32,8.47,2.69,28.36,190.4,253.63,11.72,2933.4,1.33,1.25,0.58,3.91,0.19,0.91,0.04,0.08,0,01.02,14.89,0.39,85.13,15.56,1.96,0.08,6.77,0.13,Mix
24,256.87,56.38,10.73,0.84,2.71,12,18.36,5.32,69.19,735.84,123.58,169.6,1086.18,2.8,29.58,0.93,9.26,0.09,0.52,0.1,0.2,1.82,1.12,22.51,0.38,195.98,18.5,1.38,0.07,13.78,3.91,Mix
25,252,39.01,42.71,6,4.34,12.45,3.5,722,0,455.0,254.0,161.0,3.0,0,0.0,2.66,7.8,215,0,394,167,4.438,2.47,42,646,212,75,1.77,227,25.7,2.174,Bitkisel
26,150.26,63.2,29.96,3.28,19.07,2.9,3.23,0.27,0,2.73,220.36,39.32,72.92,0.86,0.0,1.36,2.25,0.06,0,0.06,0.04,0,1.18,17.14,0.18,75.25,28.67,0.59,0.19,0.59,0.67,Bitkisel
27,536,8.26,52.2,5.1,20.3,6.3,32.4,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Bitkisel
28,451,11.87,54.66,6.22,30.93,4.1,22.63,0,0,105.0,158.0,28.0,2.9,0,0.0,1.13,0,96,0.2,0.04,0.04,0.1,0.92,0.2,0.1,97,24,0.73,0.5,5.1,1.1,Bitkisel
29,132,63.5,29.63,5.5,0,4.39,0.1,26,0,16.0,650.0,46.0,0.0,15.3,0.0,0,0,492,0,7.100.000,75,2.22,5.94,17,594,82,37,0.51,882,0.5,0.98,Bitkisel
30,68.8,86.19,2.75,0.34,0.84,7.96,2.73,0.83,24.21,125.59,118.14,15.81,1823.22,8.5,1.71,0.42,1.33,0.09,0.06,0.01,0.05,1.84,0.5,05.07,0.22,49.89,9.55,0.59,0.04,6.2,0.03,Mix
31,53,85.17,13.34,1.8,10.58,81.000.000,0.31,39,0,2.0,166.0,37.0,681.0,26.7,0.0,0.2,0,78,0,58,36,376,0.15,16,216,20,12,7.000.000,42,0.1,39,Bitkisel
32,307.11,26.56,60.08,2.38,02.05,8.77,3.1,0.58,0,1.8,353.28,30.17,0.0,0,0.0,0.67,0.09,0.34,0,0.34,0.1,0,2.89,35.25,0.77,416.39,118.03,3.41,0.45,73.28,2.47,Bitkisel
33,119,754.599.999,0,0,0,21.39,03.08,0.79,70,77.0,229.0,12.0,52.0,2.3,5.0,0.21,1.8,0.43,0.37,73,142,823.900.000,0.89,7,1.058,173,25,1.54,53,15.7,19,Hayvansal
34,310,44.56,32,0.5,27,3.5,19,11.6,44,90.0,199.0,118.0,421.0,0.6,8.0,0.3,0.3,48,0.39,41,0.24,116,0.72,5,581,105,14,68.999.999,23,1.8,8,Hayvansal
35,430,16.16,55.6,2.3,33.1,6,21.4,11.4,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
36,100,73.55,23.28,1.6,0,2.1,0.1,26,0,7.0,411.0,5.0,0.0,15.1,0.0,0,0,319,0,129,25,1.625,0.41,12,597,109,25,0.33,237,0.4,0.17,Bitkisel
37,8,97.8,02.05,0,1.96,0.02,0,0,0,13.0,1.0,3.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,899.999,0,0,Mix
38,354,8,909.000.000,0,84.87,0.1,0.2,36,0,11.0,274.0,90.0,0.0,0,0.0,0,0,3,0,900.000,13,0.04,1.61,0,48,3,19,06.06,99,0.8,4.422,Bitkisel
39,392,06.04,41.35,11.8,0.67,18.07,25.27,2.19,0,160.0,1400.0,1767.0,52.0,17.1,0.0,01.07,0,0.89,0,0.34,0.29,03.06,44.9,10,0,547,440,6.93,1.37,12.1,7.567,Bitkisel
40,224,44.56,40.8,3,2.6,12,1.4,0.8,31,274.0,90.0,30.0,380.0,0.5,0.0,0,0,32,0.2,232,164,1.6,1.1,57,596,58,13,01.03,0.04,19,0.21,Bitkisel
41,300.55,52.1,19.32,0.03,17.99,4.61,23.11,13.63,100.54,155.97,125.79,128.46,199.86,0.68,27.34,0.55,02.07,0.07,0.52,0.07,0.24,0.18,0.5,14.82,0.62,107.78,14.79,0.92,0.03,7.23,0.01,Mix
42,440,18.55,50.9,0.8,37.7,6.4,23.3,9.9,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Hayvansal
43,20,93.2,4.36,3.5,0.53,1.14,0.23,53,0,29.0,203.0,137.0,7625.0,27.4,0.0,1.88,367.6,0.18,0,45,7.200.000,411,0.8,118,274,29,22,0.14,253,0.9,337,Bitkisel
44,220,640.100.000,0,0,0,24.17,12.92,3.57,84,73.0,176.0,11.0,124.0,0,5.0,0.27,3.5,0.18,0.2,54,191,4.59,1.35,6,81.200.000,139,20,2.43,7.099.999,18.9,19,Hayvansal
45,299.39,40.06,42.3,0.74,25.67,3.42,13.29,4.85,30.91,90.72,56.78,65.32,231.47,0.41,10.84,2.82,0.91,0.02,0.1,0.11,0.1,1,0.75,28.99,0.2,61.18,9.84,0.29,0.03,4.7,0.14,Bitkisel
46,146,71.72,0,0,0,20.85,7,2.878,63,66.0,336.0,10.0,14.0,0,3.0,0.17,0.5,383,2.23,41,151,5.325,2.33,5,632,192,21,4.97,75,17.1,0.01,Hayvansal
47,120,75.97,5,0.9,2.33,12.12,5.68,1.958,39,221.0,237.0,19.0,0.0,12.8,0.1,0.27,7,154,1.22,6.900.000,155,3.079,1.25,21,0,114,18,2.9,0.12,14,0,Hayvansal
48,202,66.78,13.01,1,3.39,3.24,15.67,2.407,25,216.0,173.0,69.0,18.0,14.2,12.0,02.02,23.7,6.900.000,0.11,112,0.13,93.400.000,01.07,21,0,71,11,0.27,81,6.6,0,Bitkisel
49,286.21,34.17,46.18,1.89,0.65,12.74,4.89,1.58,25.27,654.68,141.13,17.79,77.1,0.23,2.53,0.96,0.83,0.19,0.06,0.33,0.07,0,03.01,147.55,0.92,127.76,32.56,1.11,0.12,14.73,0.73,Mix
50,42,898.199.999,4.36,2.4,2.32,1.83,2.52,1.509,6,258.0,131.0,75.0,19.0,15.7,0.0,0.33,38.8,181,0,128,54,842,0.27,44,0,32,35,0.42,82,0.4,0,Hayvansal
51,260,46.61,28.5,2.3,5.45,10.72,11.56,5.152,23,614.0,184.0,241.0,53.0,3.8,0.0,01.07,8.1,66,0.47,184,136,2.192,1.46,80,0,245,22,1.33,99,16.6,0,Mix
52,59.82,87.28,6.91,1.13,3.85,1.98,2.79,0.72,12.83,183.34,87.08,19.85,3443.19,1.46,2.72,0.75,0.93,0.04,0.02,0.02,0.03,0,0.5,16.1,0.06,32.35,7.77,0.29,0.03,1.21,0.09,Bitkisel
53,127,66.56,26.44,3.9,0,5.5,0.85,0,0,5.0,143.0,10.0,4.0,0,0.0,0.26,0,0.08,0,103,0.03,2.57,1.67,13,0,150,49,1.25,215,4,1.091,Bitkisel
54,293.66,52.17,12.45,0.39,0.06,12.75,21.47,3.87,29.53,470.9,279.2,39.73,22.66,0,127.04,6.33,0.9,0.1,2.87,0.12,0.23,10.4,1.13,28.29,0.49,134.16,22.53,1.28,0.17,29.11,0.12,Hayvansal
55,429,8.55,67.93,3.98,45.58,04.04,16.49,1.53,0,5.0,117.75,33.5,20.0,0.33,0.0,0.18,0.68,0.13,0,0.09,0.04,0.28,0.81,24.5,0.14,94,41.75,0.81,0.4,1.23,0.85,Mix
56,389,0.23,99.77,0,97.81,0,0,0,0,2.0,2.0,1.0,0.0,0,0.0,0,0,0,0,0,19,0,0.06,0,0,0,0,0.01,7,60.000.000,4,Bitkisel
57,71.69,84.88,5.84,1.64,2.57,5.12,3.27,0.94,19.79,117.27,229.85,17.01,1629.5,7.97,1.8,0.52,5.21,0.12,0.41,0.05,0.07,1.42,0.78,18.29,0.26,56.72,13.95,1.11,0.06,4.47,0.15,Hayvansal
58,269,29.42,65.67,1,42.45,1.25,0,0,0,6.0,1260.0,62.0,0.0,0,0.0,0,0,0,0,0,0,0,76,0,0,63,50,0.5,0,0,0,Bitkisel
59,122.86,74.53,8.91,2.18,1.79,9.72,5.63,1.17,22.72,205.36,210.72,25.26,2200.51,15.9,1.15,0.79,3.95,0.18,0.63,0.04,0.07,0,1.5,41.96,0.25,97.13,20.19,2.28,0.11,8.87,0.25,Mix
60,278,55.03,0,0,0,24.42,19.26,803.999.999,97,78.0,301.0,21.0,0.0,0,0.0,0.16,0,0.12,2.97,0.09,0.26,6.45,02.03,19,0.67,198,26,5.72,128,27.4,24,Hayvansal
61,61,82.61,13.86,1.7,2.83,1.95,0.77,77,0,195.0,136.0,4.0,34.0,2.6,0.0,0.03,0,37,0,15,15,884,0.36,38,522,46,15,0.39,28,0.5,82,Bitkisel
62,189,60.48,17.45,0.6,0.23,12.48,7.23,2.682,92,779.0,143.0,31.0,32.0,0.1,16.0,0.24,0.6,143,0.91,161,232,2.72,2.1,38,0,124,14,2.29,7.000.000,19.7,0,Mix
63,195.83,54.86,37.31,0.81,20.72,3.71,3.71,2.19,9.97,16.81,89.2,46.79,225.12,0.3,14.22,0.09,0.29,0.03,0.13,0.07,0.07,0,0.28,16.51,0.22,59.66,14.22,0.35,0.04,0.86,0.14,Bitkisel
64,471,7.76,64.8,5.3,19.7,7.7,18.9,880.000.000,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
65,18,94.11,4,1.6,2.37,0.83,0.16,0.04,0,91.0,284.0,42.0,521.0,6.1,0.0,0.35,37.8,8.600.000,0,23,7.000.000,372,0.42,33,317,25,12,0.14,36,1,106,Bitkisel
66,47,882.900.000,11.55,0.1,11.54,0,0,0,0,9.0,33.0,6.0,4.0,26.5,0.0,0,0.1,0,0,225,354,142,0.12,1,0,6,6,0.03,0.02,0.1,0.2,Bitkisel
67,163.23,61.95,29.49,0,26.93,4.68,3.2,1.32,93.01,59.26,112.62,75.14,59.93,0.91,38.84,0.25,0.07,0.06,0.39,0.03,0.2,0.06,0.45,13.89,0.53,95.5,9.67,0.5,0.02,8.62,0.01,Mix
68,16,967.900.000,2.4,1.9,60.000.000,0.5,0.5,0.09,0,527.0,200.0,23.0,90.0,6,0.0,0.16,61.6,0.01,0,0,0.02,0,1.4,5,67,22,21,0.23,92,2,8.500.000,Bitkisel
69,97,77.55,0,0,0,19.35,1.54,133,53,1072.0,262.0,59.0,29.0,7.6,0.0,0,0,0.18,11.5,53,55,1.34,0.76,51,0.4,280,63,7.62,1.182,40,0.04,Hayvansal
70,357,10.94,73.3,2.9,2.5,11.2,2.1,454,0,2.0,431.0,34.0,0.0,0,0.0,0.05,0.3,419,0,419,121,6.738,3.52,43,93.500.000,508,144,4.16,553,894.000.000,3.012,Bitkisel
71,360,8.75,89.11,0,85.19,93.999.999,0,0,0,428.0,4.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,Mix
72,19,942.399.999,4.51,1.7,1.66,0.82,0.13,28,0,2.0,125.0,17.0,0.0,7.7,0.0,0.12,4.1,76,0,25,29,0.47,0.34,93,249,18,12,0.74,123,0.2,189,Bitkisel
73,332,19.38,72.23,0.8,52.56,2.42,5.49,4.765,0,112.0,63.0,5.0,0.0,0.1,0.0,0.06,0,41,0,5,22,134,0.48,2,0,23,10,0.31,126,4.9,0,Mix
74,56.14,88.63,5.48,1.47,2.16,1.41,3.61,0.49,0.89,120.38,160.99,33.96,1137.04,8.78,3.91,0.84,7.26,0.07,0.07,0.05,0.08,0.1,0.46,16.42,0.13,32.79,10.95,0.2,0.06,0.44,0.15,Bitkisel
75,107.53,76.55,16.37,01.04,02.04,1.72,04.05,0.57,0,353.62,149.65,12.57,1226.15,33.14,0.0,0.98,17.6,0.13,0,0.12,0.02,0,1.12,47.07,0.26,30.97,13.13,0.29,0.07,2.71,0.27,Bitkisel
76,308.76,34.87,44.91,2.14,1.94,09.03,9.98,2.12,96.02,204.73,122.55,61.23,2824.69,0.23,26.53,2.14,0.56,0.09,0.25,0.6,0.41,3.81,3.22,146.04,0.78,131.3,20.95,0.91,0.17,24.88,0.4,Mix
77,18,Gram,4.3,2.9,1.8,0.9,0.1,0,0,661.0,170.0,30.0,18.0,14.7,0.0,0,0,0.1,0,0,0,0,1.5,0,0,0,13,0,0,0,0,Bitkisel
78,882,0.2,0,0,0,0,99.8,33.2,100,0.0,0.0,0.0,0.0,0,191.0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,Hayvansal
79,298,47.07,17.88,1.8,0.8,13.36,19.23,3.998,36,600.0,229.0,52.0,12.0,0.4,0.3,2.13,11.1,233,0.52,92,163,3.639,01.06,5,0,183,28,0.87,111,18.9,0,Hayvansal
80,46,87.2,11.02,1.6,09.02,0.92,0.44,0.1,0,1.0,124.0,13.0,870.0,1.7,0.0,0.05,1.5,67,0,44,34,137,0.53,5,178,16,9,0.1,0.09,0,57,Bitkisel
81,86,77.28,20.12,3,4.18,1.57,0.05,18,0,55.0,337.0,30.0,14187.0,2.4,0.0,0.26,1.8,209,0,78,61,55.700.000,0.61,11,0.8,47,25,0.3,151,60.000.000,258,Bitkisel
82,52,872.600.000,8.1,60.000.000,2.13,1.21,1.69,0.53,3,383.0,374.0,13.0,8.0,0,0.0,0.16,0.4,0.04,0.02,42,192,0.17,0.48,10,0,51,5,0.36,0.22,1.8,59,Mix
83,105,71.87,7.66,0,5.48,15.69,1,644,12,702.0,278.0,351.0,53.0,0,0.0,0.02,0.2,0.05,0.95,0.04,265,0.23,0.19,35,0.84,523,22,1.5,36,4.9,17,Hayvansal
84,65,81.88,16.28,2.6,13.59,0.8,0.08,13,0,264.0,148.0,11.0,49.0,2.3,0.0,0.06,0.3,0.05,0,0.01,48,251,0.41,27,137,17,15,0.26,116,1,0.22,Bitkisel
85,36.43,91.55,3.97,0.9,2.67,1.53,1.93,0.25,01.01,151.05,224.99,31.03,1500.31,17.67,3.23,0.3,3.54,0.1,0.06,0.05,0.06,0.43,0.49,17.38,0.16,40.36,20.91,0.3,0.08,0.6,0.17,Bitkisel
86,199,54.04,36.25,1.88,0.5,4.46,3.79,0.85,0,328.48,200.37,11.59,2584.57,5.25,0.0,0.18,24.71,0.15,0,0.33,0.18,0,1.87,51.02,0.4,57.9,17.82,0.39,0.13,12,0.31,Bitkisel
87,659,3.42,11.74,7.5,2.33,14.32,670.999.999,16.134,0,3.0,659.0,160.0,0.0,0.7,0.0,5.65,0,101,0,617,35,295,2.43,22,184,725,376,04.06,1.743,1917,1.223,Bitkisel
88,17,94,04.07,1.6,0,0.7,0.1,11,0,170.0,400.0,70.0,0.0,2,0.0,0,0,116,0,0.02,0.03,0.3,0.7,68,338,23,42,0.17,231,0.2,256,Bitkisel
89,281,22.63,51.42,21.6,0,11.86,819.999.999,0.82,0,43.0,2411.0,61.0,20438.0,2,0.0,0,0,3.535,0,179,2.255,6.403,10.93,69,1.993,201,113,1.42,508,2.9,1.279,Bitkisel
90,0.2,995.400.000,0,0,0,0,0,0,0,8.0,8.0,3.0,0.0,0,0.0,0,0,0,0,5,23,0,0.11,0,0,9,1,0.01,2,0,0,Mix
91,23,92.5,2.71,2.1,0,2.98,0.78,0,0,55.0,256.0,124.0,1158.0,5.9,0.0,0,0,8.600.000,0,106,129,787,1.48,114,135,36,48,0.3,111,0.9,255,Bitkisel
92,37,913.499.999,3.78,2.1,2.42,1.19,2.44,0.34,0,258.0,164.0,49.0,0.0,13.7,0.0,0.71,19.7,138,0,387,54,755,0.45,22,0,22,20,0.24,64,0.6,0,Bitkisel
93,254,57.7,0,0,0,25.25,16.17,6.159,88,67.0,271.0,23.0,9.0,0,2.0,0.12,1.5,329,2.49,44,171,4.627,2.58,7,569,179,19,6.24,79,20.3,899.999,Hayvansal
94,344,32.43,45.47,0.4,25.12,4.55,16.08,3.171,68,514.0,61.0,76.0,29.0,0,0.4,1.66,11.8,38,0.16,145,175,1.332,1.22,48,0,179,8,0.39,49,6.9,0,Mix
95,503,11.66,52,2.7,3.1,4.7,31,3.1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,Mikrogram,0,0,0,0,0,0,0,Mix
96,333,34.62,31.84,0,0,13.31,17.8,2.383,0,294.0,585.0,54.0,13.0,1.6,0.0,0,0,125,0,146,166,1.044,3.42,93,292,192,82,1.5,258,1,69.099.999,Bitkisel
97,161.45,68.74,17.9,1.11,2.11,4.51,7.95,2.1,11.11,186.57,139.3,122.92,67.05,0.49,0.0,0.66,9.37,0.08,0,0.1,0.06,0,1.74,17.59,0.13,58.66,10.98,1.12,0.02,6.79,0.1,Mix
98,444.83,31.06,11.99,5.91,03.03,13.73,40.73,4.32,74.44,194.29,433.8,164.59,135.55,03.01,16.41,12.99,6.29,0.16,0.18,0.08,0.68,1.91,2.49,45.42,0.41,298.64,149.87,02.09,0.65,7.49,0.59,Mix
